source,source_type,sentence_index,sentence,similarity_score,threshold_used,matched_article_id,matched_propaganda_text
BO1,political_speech,23,"The time has come to reaffirm our enduring spirit, to choose our better history, to carry forward that precious gift, that noble idea passed on from generation to generation the God-given promise that all are equal, all are free, and all deserve a chance to pursue their full measure of happiness",0.5503551,0.55,777488669,eternal bliss in heaven
BO1,political_speech,24,"In reaffirming the greatness of our Nation, we understand that greatness is never a given",0.63810587,0.55,769682854,Make America Great Again
BO1,political_speech,40,"Starting today, we must pick ourselves up, dust ourselves off, and begin again the work of remaking America",0.55664194,0.55,769682854,Make America Great Again
BO1,political_speech,107,"that in the depth of winter, when nothing but hope and virtue could survive",0.5845028,0.55,696694316,"A dark, impenetrable and irreversible winter of persecution of the faithful by their own shepherds will fall"
BO1,political_speech,110,"With hope and virtue, let us brave once more the icy currents and endure what storms may come",0.56320924,0.55,741896049,I applaud the brave men and women of ICE who put themselves in harms way daily
BO2,political_speech,8,"They gave to us a republic, a government of and by and for the people, entrusting each generation to keep safe our founding creed",0.5734307,0.55,776368676,to stop the will of We the People
BO2,political_speech,9,"And for more than 200 years, we have",0.59802365,0.55,762340819,"for years, and probably decades"
BO2,political_speech,24,"Americas possibilities are limitless, for we possess all the qualities that this world without boundaries demands youth and drive diversity and openness an endless capacity for risk and a gift for reinvention",0.6378753,0.55,999000184,triumphs of Americas diversity
BO2,political_speech,32,"But while the means will change, our purpose endures a nation that rewards the effort and determination of every single American",0.5624906,0.55,769682854,Make America Great Again
BO2,political_speech,44,"We will respond to the threat of climate change, knowing that the failure to do so would betray our children and future generations",0.6323766,0.55,716469423,This warning will infuriate environmental campaigners who argue by 2030 the world faces increased sea levels and flooding due to glacial melt at the poles and a warming of the globe
BO2,political_speech,50,"That is how we will preserve our planet, commanded to our care by God",0.5692613,0.55,773937361,dedicated to the destruction of everything we want to preserve
BO2,political_speech,53,"Our brave men and women in uniform, tempered by the flames of battle, are unmatched in skill and courage",0.5585356,0.55,785801366,noble and courageous individuals
DjT1,political_speech,1,"We, the citizens of America, are now joined in a great national effort to rebuild our country and restore its promise for all of our people",0.57744795,0.55,769682854,Make America Great Again
DjT1,political_speech,8,"For too long, a small group in our Nations Capital has reaped the rewards of Government while the people have borne the cost",0.565736,0.55,762546428,Governments are nothing more than a handful of people
DjT1,political_speech,31,Weve defended other nations borders while refusing to defend our own and spent trillions and trillions of dollars overseas while Americas infrastructure has fallen into disrepair and decay,0.5851691,0.55,787668628,strengthening America and protecting Americans
DjT1,political_speech,40,"We must protect our borders from the ravages of other countries making our products, stealing our companies, and destroying our jobs",0.6615083,0.55,734265267,protect the integrity of our immigration laws and border controls
DjT1,political_speech,45,We will bring back our borders,0.6192149,0.55,795689901,OUR SOUTHERN BORDER!
DjT1,political_speech,53,"We will reinforce old alliances and form new ones and unite the civilized world against radical Islamic terrorism, which we will eradicate completely from the face of the Earth",0.554278,0.55,765197039,the global jihad threat
DjT1,political_speech,63,"We will no longer accept politicians who are all talk and no action, constantly complaining, but never doing anything about it",0.5582924,0.55,708561738,It isnt going to stop until we boot out the corrupt career politicians that are engaging in this type of behavior
DjT1,political_speech,68,Our country will thrive and prosper again,0.58550304,0.55,769682854,Make America Great Again
DjT1,political_speech,76,"Together, we will make America strong again",0.6673369,0.55,769682854,Make America Great Again
DjT1,political_speech,77,We will make America wealthy again,0.6399283,0.55,769682854,Make America Great Again
DjT1,political_speech,78,We will make America proud again,0.6263114,0.55,769682854,Make America Great Again
DjT1,political_speech,79,We will make America safe again,0.6029828,0.55,785801366,we need to bring in people who actually love America and want to protect it
DjT1,political_speech,80,"And, yes, together, we will make America great again",0.7150191,0.55,769682854,Make America Great Again
DjT2,political_speech,8,The scales of justice will be rebalanced,0.55529284,0.55,711596363,A great injustice has been done
DjT2,political_speech,11,"America will soon be greater, stronger, and far more exceptional than ever before",0.6504141,0.55,769682854,Make America Great Again
DjT2,political_speech,12,I return to the Presidency confident and optimistic that we are at the start of a thrilling new era of national success,0.5764552,0.55,781577820,unprecedented success at effectuating the Presidents agenda
DjT2,political_speech,15,"While they are plentiful, they will be annihilated by this great momentum that the world is now witnessing in the United States of America",0.5723489,0.55,781768042,through tolerance and apathy Americans are bringing upon themselves destruction
DjT2,political_speech,16,"As we gather today, our Government confronts a crisis of trust",0.5538254,0.55,729578579,Squandering the capital of trust
DjT2,political_speech,19,"It fails to protect our magnificent, law-abiding American citizens, but provides sanctuary and protection for dangerous criminals, many from prisons and mental institutions, that have illegally entered our country from all over the world",0.6188884,0.55,781577820,"one that protects the safety and security and rights of the American people, reduces violent crime, enforces our immigration laws, promotes economic growth, and advances religious liberty"
DjT2,political_speech,20,"We have a Government that has given unlimited funding to the defense of foreign borders, but refuses to defend American borders or, more importantly, its own people",0.55197346,0.55,734265267,protect the integrity of our immigration laws and border controls
DjT2,political_speech,32,Our liberties and our Nations glorious destiny will no longer be denied,0.564414,0.55,759478604,complete loss of our rights
DjT2,political_speech,39,I was saved by God to make America great again,0.67257637,0.55,769682854,Make America Great Again
DjT2,political_speech,44,"As our victory showed, the entire nation is rapidly unifying behind our agenda with dramatic increases in support from virtually every element of our society young and old, men and women, African Americans, Hispanic Americans, Asian Americans, urban, suburban, rural",0.567078,0.55,787668628,strengthening America and protecting Americans
DjT2,political_speech,56,Applause Cant do that,0.7103131,0.55,783702663,their mindless applause
DjT2,political_speech,59,Its all about common sense,0.5909147,0.55,701837665,suspension of logic and common sense
DjT2,political_speech,60,"First, I will declare a national emergency at our southern border",0.5976068,0.55,795693029,if unable to do so I will call up the U.S. Military and CLOSE OUR SOUTHERN BORDER!
DjT2,political_speech,64,And I will send troops to the southern border to repel the disastrous invasion of our country,0.60070294,0.55,795693029,if unable to do so I will call up the U.S. Military and CLOSE OUR SOUTHERN BORDER!
DjT2,political_speech,85,The American dream will soon be back and thriving like never before,0.57309973,0.55,769752554,Make American Great Again
DjT2,political_speech,87,"After years and years of illegal and unconstitutional Federal efforts to restrict free expression, I also will sign an Executive order to immediately stop all Government censorship and bring back free speech to America",0.5760517,0.55,787002327,and suffocate free speech in America
DjT2,political_speech,90,It will not happen again,0.59219587,0.55,999001032,that will never happen
DjT2,political_speech,105,"America will reclaim its rightful place as the greatest, most powerful, most respected nation on Earth, inspiring the awe and admiration of the entire world",0.62168527,0.55,769682854,Make America Great Again
DjT2,political_speech,115,"Above all, my message to Americans today is that it is time for us to once again act with courage, vigor, and the vitality of historys greatest civilization",0.5752375,0.55,769752554,Make American Great Again
DjT2,political_speech,127,Americans pushed thousands of miles through a rugged land of untamed wilderness,0.5525328,0.55,999001619,a damaging and exploitative US dominance of Americas backyard
DjT2,political_speech,132,The American people have spoken,0.57488585,0.55,703806098,the American people are clearly not being told the truth
DjT2,political_speech,138,"After all we have been through together, we stand on the verge of the 4 greatest years in American history",0.59757435,0.55,769752554,Make American Great Again
DjT2,political_speech,139,"With your help, we will restore America promise and we will rebuild the nation that we love, and we love it so much",0.58332026,0.55,769682854,Make America Great Again
DjT2,political_speech,144,"But we are going to bring it back and make it great again, greater than ever before",0.64825535,0.55,769682854,Make America Great Again
DjT2,political_speech,147,"America will be respected again and admired again, including by people of religion, faith, and good will",0.556662,0.55,769682854,Make America Great Again
JB,political_speech,4,"The peoplethe will of the people has been heard, and the will of the people has been heeded",0.5998647,0.55,776368676,to stop the will of We the People
JB,political_speech,21,The dream of justice for all will be deferred no longer,0.57972705,0.55,777488669,a miscarriage of human justice beyond any the world could ever have imagined
JB,political_speech,23,"And now, a rise of political extremism, White supremacy, domestic terrorism that we must confront and we will defeat",0.57101333,0.55,785801366,Countering Violent Extremism
JB,political_speech,25,It requires the most elusive of all things in a democracy unity,0.57085145,0.55,728972961,democratic principle
JB,political_speech,34,We can overcome the deadly virus,0.5857439,0.55,757843275,the death toll from the infectious disease continues to climb
JB,political_speech,36,"We can deliver racial justice, and we can make America, once again, the leading force for good in the world",0.6149876,0.55,769682854,Make America Great Again
JB,political_speech,42,And victory is never assured,0.550955,0.55,700461600,"secure, is that really a victory?"
JB,political_speech,51,"No progress, only exhausting outrage",0.5597471,0.55,783702663,a worldwide storm of outrage
JB,political_speech,54,And we must meet this moment as the United States of America,0.5645342,0.55,703821117,to never reveal the meeting to the American people
JB,political_speech,55,"If we do that, I guarantee you, we will not fail",0.55853724,0.55,699142854,"If they fail, the possibility Trump created will be lost, perhaps irrevocably"
JB,political_speech,63,America has to be better than this,0.5519611,0.55,769682854,Make America Great Again
JB,political_speech,71,Dont tell me things cant change,0.6109825,0.55,728972961,That we cannot change
JB,political_speech,73,"And here we stand, just days after a riotous mob thought they could use violence to silence the will of the people, to stop the work of our democracy, to drive us from this sacred ground",0.56410956,0.55,776368676,to stop the will of We the People
JB,political_speech,88,"There is truth, and there are lies lies told for power and for profit",0.57853895,0.55,697959084,One can only speculate as to what the reasons for these lies actually are?
JB,political_speech,108,Were entering what may be the toughest and deadliest period of the virus,0.57874393,0.55,754231597,a deadly virus that causes severe bleeding and organ failure
JB,political_speech,109,We must set aside politics and finally face this pandemic as one Nation,0.6505387,0.55,707566605,making a global pandemic much more likely
JB,political_speech,133,Will we meet our obligations and pass along a new and better world to our children,0.564478,0.55,767129999,"We want children staying together,"
JB,political_speech,137,What will our children say,0.58428186,0.55,767129999,"We want children staying together,"
JB,political_speech,146,I will defend America,0.5737474,0.55,787668628,strengthening America and protecting Americans
JB,political_speech,149,"A story of decency and dignity, love and healing, greatness and goodness",0.62161255,0.55,729410793,as children of God with inherent dignity
GWB2,political_speech,2,"I am grateful for the honor of this hour, mindful of the consequential times in which we live, and determined to fulfill the oath that I have sworn and you have witnessed",0.5741749,0.55,790483991,"I wish to encourage you, dear faithful, my brothers and sisters in Christ"
GWB2,political_speech,7,"For as long as whole regions of the world simmer in resentment and tyranny, prone to ideologies that feed hatred and excuse murder, violence will gather and multiply in destructive power and cross the most defended borders and raise a mortal threat",0.55369496,0.55,785801366,Countering Violent Extremism
GWB2,political_speech,8,"There is only one force of history that can break the reign of hatred and resentment and expose the pretensions of tyrants and reward the hopes of the decent and tolerant, and that is the force of human freedom",0.58115894,0.55,773520636,Resistance to tyrants is obedience to God
GWB2,political_speech,16,"Now, it is the urgent requirement of our Nations security and the calling of our time",0.5945254,0.55,701837665,a grave threat to national security
GWB2,political_speech,17,"So it is the policy of the United States to seek and support the growth of democratic movements and institutions in every nation and culture, with the ultimate goal of ending tyranny in our world",0.57247674,0.55,761610997,end tyranny in our world
GWB2,political_speech,23,The great objective of ending tyranny is the concentrated work of generations,0.68450457,0.55,761610997,end tyranny in our world
GWB2,political_speech,26,My most solemn duty is to protect this Nation and its people from further attacks and emerging threats,0.55348283,0.55,701837665,a grave threat to national security
GWB2,political_speech,48,Division among free nations is a primary goal of freedoms enemies,0.5746747,0.55,711964584,once great nations darkest moments and a low point for freedom
GWB2,political_speech,51,"From all of you I have asked patience in the hard task of securing America, which you have granted in good measure",0.5862694,0.55,787668628,strengthening America and protecting Americans
GWB2,political_speech,58,And one day this untamed fire of freedom will reach the darkest corners of our world,0.5942671,0.55,711964584,once great nations darkest moments and a low point for freedom
GWB2,political_speech,73,"By making every citizen an agent of his or her own destiny, we will give our fellow Americans greater freedom from want and fear and make our society more prosperous and just and equal",0.5536399,0.55,776368676,to stop the will of We the People
GWB1,political_speech,18,"And sometimes our differences run so deep, it seems we share a continent but not a country",0.6507463,0.55,729561658,continent not a country
GWB1,political_speech,26,Every citizen must uphold them,0.5955638,0.55,765913191,law-abiding citizens
GWB1,political_speech,28,"Today we affirm a new commitment to live out our Nations promise through civility, courage, compassion, and character",0.5594615,0.55,785801366,noble and courageous individuals
GWB1,political_speech,48,"The enemies of liberty and our country should make no mistake America remains engaged in the world, by history and by choice, shaping a balance of power that favors freedom",0.5584688,0.55,761674108,Extremism in the defense of liberty is no vice
GWB1,political_speech,49,We will defend our allies and our interests,0.55873585,0.55,699478811,"This will not only serve to bolster the Assad regime, but it also will strengthen Irans ability to follow through on its threats to the U.S. and its allies, principally Israel"
GWB1,political_speech,51,We will meet aggression and bad faith with resolve and strength,0.59214056,0.55,769962328,fighting the good fight of faith
GWB1,political_speech,56,Abandonment and abuse are not acts of God they are failures of love,0.57211494,0.55,725498022,the abuse was approved by God
GWB1,political_speech,58,"Where there is suffering, there is duty",0.5822865,0.55,783702663,the sufferings of the Church
GWB1,political_speech,81,"I ask you to be citizens Citizens, not spectators citizens, not subjects responsible citizens building communities of service and a nation of character",0.55911136,0.55,765913191,law-abiding citizens
