text,appeal_to_authority,appeal_to_fear_prejudice,bandwagon_reductio_ad_hitlerum,black_and_white_fallacy,causal_oversimplification,doubt,exaggeration_minimisation,flag_waving,loaded_language,name_calling_labeling,repetition,slogans,thought_terminating_cliches,whataboutism_straw_men_red_herring,agreement_rate,n_llms_agreed,consensus_score
"They only want free speech when it normalizes racism, slavery, and white supremacy.",0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,2,0.214
Most of them are European,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
How they know it was not the russians?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,2,0.071
Gun control will probably not raise violence.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,2,0.071
How India’s Partition Created The Islamization Of UK,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.0,2,0.214
Definitely democratic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
"As a Syrian, I’d like to say a lot of us don’t believe this shit, also I love Kurds",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
We need *TWO THIRDS* of the house and senate y'all! VOTE!!!!!,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,2,0.143
"We are kurds , from Kurdistan, not Syrian or iraqi or irani or turkey.  Bijî Kurdistan",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,2,0.143
this is a good thing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
"So KKK and Nazis, right?",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
"Democrats are extremely lib-right on immigration ""what'll happen to all the plantation workers we're exploiting?""",0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,2,0.214
Won’t happen. The “conservative” politicians have the gun lobby’s cock so far down their throats they are incapacitated.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
"Trump is a side effect of the collapse of American unipolarity, which is inherently tied to the rules-based order, not the cause of it.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,2,0.071
"Wikileaks, do your thing",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
That just makes me like Francis even more.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
Surname is jewish for sure.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
"Iran is hallucinating again. The US population in general barely gives a shit about Iran. Nobody here gives Iran 5 minutes of thought in a week. 

As far as most everyone in the US is concerned, Iran is a crackpot nation of brainless, screaming zealots who are basically dangerous like a hobo with a knife. 

Perhaps you think there's more capability than meets the eye? Iran can't even supply water to it's population. How capable could their military be?

In 1988, in retaliation for an attack on a US ship, the US Navy took out most of Iran's surface navy within 8 hours . Iran lost 2 cruisers and a couple of oil platforms used as military outposts. Iran hasn't dared an attack on that level since. 

More recently (this year), Iran's vaunted air force basically sat on their hands and watched as the US walked in and severely damaged Iran's underground nuclear bunkers and facilities with a dozen gravity bombs. Iran put up little to no resistance. 

Let's face it. The reality is that if it ever came to ""total war"", the US would wipe out Iran's military as quickly and cleanly as it did in Iraq. 

That's why the US doesn't give a shit about Iran. Iran is a small dog. All it can do is bark incessantly and hope someone notices and takes them seriously. But they can bite. Once. Maybe twice. However, if they ever do anything serious enough to piss off the big dog, the US will walk in, take away their toys, rip off their balls, and shit on whatever remains of their dignity. 

No, it's not a total war. The US at most considers it maybe a practice scrimmage between an Olympic team (The US) and a group of mentally challenged 5-year-olds (Iran).",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1.0,2,0.857
Israel: fomenting anti-semitism,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
"They don't think Catholics are people either, don't worry they'll get to you eventually.",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.143
Why Federalism Is Syria's Last Defense Against Authoritarian Rule: Peter Galbrait,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
"Do they realize that this is a form of marketing and a means to appeal to actual anti-semites? This ploy that they are running is just going to create more people who (wrongly) hate jews.


They are gameshowifying people who are ""anti-israel,""",0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.214
"What about the people who killed Jesus? Wouldn't that same ""logic"" make them palestinians too?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2,0.071
Just what I demand first and foremost from the FBI: cutting costs.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
"Huh, I figured Patel would leave first.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
I think if we stopped propping up the failures everywhere they could solve themselves.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,2,0.071
Whats Syrian Kurdish?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
Blame the Jews again?,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
"Ex-MI6 Chief Richard Moore: Spying Is an ‘Arms Race’ *The longtime intelligence officer talks about managing China, the psychology of Putin, and why spies shouldn’t expect recognition.*",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
2024 Election Environment Favorable to GOP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
The government is made up of...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
"FRENCH NUCLEAR MISSLES ON NUCLEAR SUBMARINES.

END OF MESSAGE.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
Catholics are so absolutely cringe bordering on idolatrous when it comes to their pope.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
The Jews are tiiiiiiiired.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
Coming to a democracy near you.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
Another reason i left the catholic church,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
"The UK, thanks to brexit",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
"They're *really* going to have a hard time when they realize that they're going to have to give up calling themselves ""Jews"".",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
Democrats are terrorists,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
"The short answer is Cubans.

And really, the long answer is also Cubans, but also includes Venezuelans, Brazilians, and retirees from the northern states. But mostly, Cubans.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
This is a good thing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
"At least he's keeping Adolf

Is a good name, good things shouldn't be stolen by monsters",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
Then why did you kill them all after they were helpless?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
"You will have to wait mister Zelensky, we are too busy supporting terrorist in EU.",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
Thoughts on what measures are needed to prevent gun violence if not for making it more difficult to own one?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
"It's sad, but honestly with the type of stuff the mullahs are pulling these days, I can understand. I don't support it, but I get it.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
"As someone equivalently older than you, we thought the same thing about your generation.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
No wonder women in this country dont report assaults. Women and young girls are treated as second class citizens,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,2,0.214
Where on Capitol Hill?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
Democrats apparently want Republicans to win…,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
Religion of peace in the news again?,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
"Yeah, they are Kurds, but I understand why they wouldn't consider themselves Kurds anymore.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,2,0.071
Time to Unify the Kurdish Northeast with the Rest of Syria,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2,0.071
Moscow sentences Russian diplomat to 12 years for passing secrets to U.S. intelligence,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
"If this dealer was in Canada, the judges would do everything possible to stop deportation.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
Didn’t he have syphilis?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,2,0.071
"There are no patriotic ICE agents, full stop.  What they are doing is a disservice to our country, and I would curse them if I thought it would be effective.",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
The U.S bishops are a bunch of assholes. Out of touch with the majority of practitioners and the Church overall.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
"When i hear the name Adolph Hitler, I immediately think of this Namibian politician. It takes me a while to realize there was some Austrian painter who had this name who died 80 years ago.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
Democratic*. The adjective referring to the left of center party in the US is “democratic.”,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
Jesus was a very Jewish roman.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
"In awareness this kind of problem will become nonexistent.

             ‘In the problem is the solution’

.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
The way to protect yourself from lies is to know the truth. Period.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
This is what happens when you constantly push anti semitism....,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.143
"What if we taxed what people spend, not what they earn?",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
No one will be safe from what conservatives have done.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
Exactly what Trumps wants.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
So he's supporting bigotry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
It takes only one whistleblower.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
"Remember, it takes 60 senate votes to pass any meaningful legislation. A bare majority or 50 plus the Vice President is for things like budget reconciliation.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
They’re only going after dangerous criminals,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
Please remember that Pope John Paul II directed US bishops to not cooperate with officers investigating crimes against children.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
They're doing all this to protect the genocidal paedophile state of Israel,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
"Which one? Denmark, Norway, Sweden, or Finland? They have different systems.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
Many Christians and Muslims have Hebrew names. “Adam” is a Hebrew name. “Miriam” is a Hebrew name. “Joshua” is a Hebrew name. “Joseph” is a Hebrew name. I could go on.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,2,0.071
"Most Pakistani don’t know what Sharia Law is, actually most Americans don’t what Sharia Law is. Sharia is the Arabic term for “law”.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
I'm all for churches taking a more tolerant stance on social issues but this seems flat out too far.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
Every continent but Australia!,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
"If it's doable, someone will do it.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
Poll: Major allies see US as unreliable and destabilizing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
"Believe it or not, Israel gets along well with its Arab neighbors that acknowledge its right to exist and don’t harbor terrorists.",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,2,0.143
"Ironically, the ones who ever asked me that are foreigners, none of my German friends ever asked me that",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
They’re not asylum seekers,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
"We already have immigration laws, the problem of the last four years is they weren't enforced.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,2,0.071
Can someone explain to me how this is any different from state sponsored terrorism?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
Cops will regret co-operating with ICE when this all ends.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
It’s unfortunate the people just won’t stand for a Jew in media. Someday they’ll break through. Maybe even in comedy.,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.143
We need ICE in Canada.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
"Pope: Russia's refusal to observe Christmas ceasefire causes me ""much sadness""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
Pro-Israel PAC endorses 65 House Democrats. Oh nice they are giving us a list of candidates to Not vote for.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
"Iran’s president says country in midst of ‘total war’ with US, Israel and Europe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
What about Palestinian Jews and Palestinian Christians who’ve been killed by Israel? Why no nuance?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2,0.071
Violence is never the answer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
I’d call him Burger King but he only eats McDonald’s.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
"If she wins, that will be something!",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
"""Terrorism campaign"" would be a more accurate description",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
"I say this as someone who despises the Trump admin, but if they successfully isolate the Israeli far-right, it may actually be one of the greatest master strokes of foreign policy in modern history.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
Looking painfully jewish.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
One more reason to not use Google,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
He is the fucking terrorist.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
"1 dead, a dozen injured.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,2,0.071
This is bipartisanship yet the same thing must happen to Senate,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
But what if Miss universe’s Turkey is actually Kurdish though?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,2,0.071
They are hypocrites and they use Islam may God never give them peace,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
At this point i expect the next innitiative like this to have Adolf Hitler's name in there as well.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
"It’s the policies, not the politician.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
Conservatives say removal of religious exemption in hate-speech laws an assault on freedom of speech,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,2,0.143
Australia but living in Canada now,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
Never going to happen. They are now going to say we have an active criminal investigation so can’t release them.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,2,0.071
"I'm gay and a Republican, as are many of my friends. There are tons of prominent gay Republicans: Ric Grennell, Scott Pressler, Brandon Straka.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
I assume it's the FBI. Still working on that,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
She's still a bad person who will vote for the next republican that falsely  claims to love immigrants,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
Can we start with the senate itself?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
Marriage is a solution and it lasts a lifetime.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
Mr President I have just one more question…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
It sounds more perjorative to say “Democrat” than “democratic”,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
I'd like to see us work together,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
Now arrest anyone who doesn’t comply,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
One reason I distrust people who convert to Catholicism is they didn’t learn that much of being raised Catholic is learning about when to tell bishops GFY.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
"Not when the definition for anti-Semitism is often disingenuously stretched to include any criticism of Israel.

Vandalising a Synagogue is one thing. Saying ""I don't think Palestinian children should be bombed in the tens of thousands"" is another. And yet some would have you believe they are the same.",0,0,0,1,0,0,0,0,1,0,0,0,0,1,1.0,2,0.214
The Tories had to be really really bad for people to vote for these clowns.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
This is the life I have chosen.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
Trump is the terrorist,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
You are definitely not a democrat,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
"Guess we’re down to 999 comedians since there’s “only 1,000”",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,2,0.071
Jesus died on the cross for this?,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
"Wow, so he wants to protect illegal criminals?  ICE are just doing a job.",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
There’s too many Muslims in Spain as well!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
What happens after death.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
Its true. Many of my friends with non german names struggle to find a place to live,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
He pardoned a Democrat? Corruption before party. lol,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
we HAVE to start holding these idiot judges liable,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
"""If you can't beat them, join them""",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
"Zelenskyy: Putin mocks the West, world has failed to respond to Russian strikes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.143
Good thing we have very serious and competent people running the FBI.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
Hope they include all migrants,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
So when is the mentally ill president going to be hospitalized for being a danger to the people of America?,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.143
"You're NTA but the correct way to handle this is to let the theatre staff deal with them. Leave the movie, complain to the staff, and they'll deal with them appropriately.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
This move is just like what he did during his first term.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,2,0.071
James Cleverly: Tories can’t let Farage in — he wants to destroy us,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.143
"DOJ thwarts 'horrific' terrorist plot in Los Angeles by left-wing, pro-Palestinian group",0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.214
What country does Florida border?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
You can say a lot of things about Nancy Pelosi but she knows exactly what's happening.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
"Why not keep the current rule, but keep counting ballots until they are all counted.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
"IMO the Vatican is way better, as I believe they have a policy of not getting involved with international conflicts",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
Big tech can’t put you in prison for thought crimes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
Countries have to protect their own interests every country does it,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
so you're saying there's a chance,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
Actions have consequences.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
Conservatives arguing for a police state? Absolutely ridiculous Abolish ICE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.143
Reinstating the death penalty would reduce violent crime even more.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,2,0.071
How about we get the taxes that billionaires don't pay.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
"Ahhhh people with different beliefs. 

Funny we criticize the Catholics but shhhh can't say anything about Islam.",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.143
"Democrats can't complain because Trump is taking aim at George Bush, too.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2,0.071
"Because the mother has a right to protect her body from a pregnancy, even if the fetus is a person that people are otherwise not allowed to kill.

If two armed robbers break into your house and you kill Robber A in self-defense and scare Robber B away, that is not murder.

But if Robber B kills you, and then he kills Robber A to get rid of witnesses, that is double murder.

There is no contradiction here, because the rule has never been in the first place that ""killing Robber A in particular, is always murder/can't ever be murder""",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.0,2,0.143
Decisions have consequences,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
"That’s like saying the biggest villain of the World Wars was the Serbian nationalist who assassinated Archduke Ferdinand, and not someone like Hitler.",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,2,0.143
"Fuck islam but that guy is a hero

Islam bad =/= middle eastern bad",0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.0,2,0.286
Where was she when Obama deported over 3 million?,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2,0.143
"Keep these crazy fucks out of Europe.

We have our own crazy fucks to worry about already.",0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.214
"Outside dumb social media arguments, I think Syrians/Iranians and Kurds get along the most. I agree that there’s tensions happening between Kurdish militias and “Arab” militias, but that’s just simply caused by Turkey",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,2,0.071
This assumes that other people will be law abiding toward _you_.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
You’re a good person,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
Mostly peaceful immigration.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.071
This is so Jewish it hurts,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,0.071
What countries are we talking about?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
Hes already lost credibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,2,0.071
"I get the point that this is making that human ancestors and other members of the genus Homo weren't necessarily dark skinned the same way that modern sub-saharan Africans are today, but Homo sapiens didn't leave Africa until at most 70,000 years ago. If all Homo sapiens had dark skin at that time, it very much is the default for our species.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,2,0.071
"Given this is Russia under Putin we are talking about, this would likely happen.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
How yall doing in Kurdistan tbh i didn’t expect any kurdish tbh on this app😶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.0
Just be careful with your safety.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
The future is Actually Indian,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
"Liars Get Caught 


If you must lie to get in: you must lie to stay in


&


Liars Get Caught",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,2,0.143
"The Catholic Church has changed throughout history and will continue to change. The question isn't will they change, its are their changes going to be any good for society as a whole.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
"The way they are going about it is sort of the entire point of the enterprise. Intimidation, thinly-veiled racism, stretching of the 4th and fifth amendment, it all towards the same end of making the country unwelcoming. The proponents if ICE think this way explicitly and it filters down to the kind of people attracted to ICE",0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2,0.214
The DOJ will get right on that,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0.071
That’s what their media has been doing to victims when the perpetrators are Muslim for years now.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,0.143
"I would love for the next president to fire all existing ICE agents, replacing them with responsible law enforcement.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,0.071
"This, and all the other persecution of the Jewish people, is what led to Zionism.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,2,0.071
